title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Moon Mater,2010,Rob Gibbs,N/A,178,2010,0,0
Rescue Squad Mater,2008,"John Lasseter, Rob Gibbs(co-director), Victor Navone(co-director)",N/A,272,2008,0,0
Spinning,2013,"Jeremy Lasky, Dylan Brown",N/A,56,2013,0,0
null,0,null,null,null,0,0,0
Time Travel Mater,2012,Rob Gibbs,N/A,535,2012,0,0
Tokyo Mater,0,"January 1, 2020","Larry the Cable Guy, Keith Ferguson, Michael Wallis, Mach Tony Kobayashi",null,0,0,0
Unidentified Flying Mater,2009,"John Lasseter, Rob Gibbs(co-director)",N/A,316,2009,0,0
Bugged,2013,"Jeremy Lasky, Dylan Brown",N/A,48,2013,0,0
Casebusters,1986,Wes Craven,1 nomination.,50,1986,0,1
Cheaper by the Dozen,2003,Shawn Levy,2 wins & 7 nominations.,90580,2003,2,7
Cheetah,1989,Jeff Blyth,1 nomination.,801,1989,0,1
Chef Donald,1941,Jack King,N/A,764,1941,0,0
Chicken Little,2005,Mark Dindal,4 wins & 15 nominations.,82825,2005,4,15
Chip 'n' Dale Rescue Rangers,1988,N/A,1 nomination.,16431,1989,0,1
Chip an' Dale,1947,Jack Hannah,N/A,1223,1947,0,0
Cinderella,1950,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 3 Oscars. Another 6 wins & 4 nominations.,139378,1950,6,7
Cinderella 2: Dreams Come True,2001,John Kafka,7 nominations.,9985,2002,0,7
Cinderella 3: A Twist in Time,2007,Frank Nissen,N/A,8691,2007,0,0
Clock Cleaners,1937,Ben Sharpsteen,N/A,1987,1937,0,0
Cloud 9,2014,Paul Hoen,N/A,3482,2014,0,0
Coco,2017,"Lee Unkrich, Adrian Molina(co-director)",Won 2 Oscars. Another 108 wins & 36 nominations.,333411,2017,110,36
null,0,null,null,null,0,0,0
College Road Trip,2008,Roger Kumble,1 nomination.,14974,2008,0,1
Confessions of a Teenage Drama Queen,2004,Sara Sugarman,1 win.,26686,2004,1,0
Continent 7: Antarctica,2016,N/A,N/A,93,2016,0,0
Cool Runnings,1993,Jon Turteltaub,2 wins & 2 nominations.,88123,1993,2,2
Coop and Cami Ask the World,2018,N/A,N/A,267,0,0,0
null,0,null,null,null,0,0,0
Corn Chips,1951,Jack Hannah,N/A,483,1951,0,0
Cow Belles,2006,Francine McDougall,N/A,5625,2006,0,0
Crash & Bernstein,2012,N/A,N/A,599,2012,0,0
Dadnapped,2009,Paul Hoen,N/A,2634,2009,0,0
Darby O'Gill and the Little People,1959,Robert Stevenson,N/A,6664,1960,0,0
Darkwing Duck,1991,N/A,1 win & 11 nominations.,13689,1991,1,11
Davy Crockett and the River Pirates,0,"November 12, 2019","Fess Parker, Buddy Ebsen, Jeff York, Kenneth Tobey",null,0,0,0
Davy Crockett: King of the Wild Frontier,1955,Norman Foster,N/A,3316,1955,0,0
Day & Night,2010,Teddy Newton,Nominated for 1 Oscar. Another 3 wins.,16108,2010,3,1
Decorating Disney: Holiday Magic,2017,N/A,N/A,40,2017,0,0
Deep Blue,2003,"Andy Byatt, Alastair Fothergill",N/A,2791,2004,0,0
Descendants 2,2017,Kenny Ortega,3 nominations.,7218,2017,0,3
Descendants 3,2019,Kenny Ortega,2 nominations.,4072,2019,0,2
Destino,2003,Dominique Monfery,Nominated for 1 Oscar. Another 6 wins & 1 nomination.,3695,2003,6,2
Diana: In Her Own Words,2017,"Tom Jennings, David Tillman",2 wins.,1291,2017,2,0
Diary of a Future President,2020,N/A,N/A,333,2020,0,0
Diary of a Wimpy Kid,2010,Thor Freudenthal,5 wins & 9 nominations.,40808,2010,5,9
