title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
The Simpsons Movie,2007,David Silverman,Nominated for 1 Golden Globe. Another 5 wins & 33 nominations.,302244,2007,5,34
Sister Act,1992,Emile Ardolino,Nominated for 2 Golden Globes. Another 9 wins & 8 nominations.,83764,1992,9,10
Sister Act 2: Back in the Habit,1993,Bill Duke,1 win & 3 nominations.,47046,1993,1,3
Skyrunners,2009,Ralph Hemecker,1 win & 1 nomination.,1022,2009,1,1
Sleeping Beauty,1959,"Clyde Geronimi, Les Clark, Hamilton Luske, Wolfgang Reitherman", Ted Sears (additional story),null,1959,0,0
Smart Guy,1997,N/A,7 nominations.,4198,1997,0,7
Smart House,1999,LeVar Burton,2 nominations.,5998,1999,0,2
Smash and Grab,2019,Brian Larsen,N/A,399,2019,0,0
Snow Dogs,2002,Brian Levant,1 win.,24563,2002,1,0
Snow White and the Seven Dwarfs,1937,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen",Nominated for 1 Oscar. Another 11 wins & 5 nominations.,174379,1938,11,6
Snowball Express,1972,Norman Tokar,N/A,1355,1973,0,0
Snowglobe,2007,Ron Lagomarsino,1 win.,2043,2007,1,0
So Weird,1999,N/A,7 nominations.,2519,1999,0,7
Society Dog Show,1939,Bill Roberts,N/A,350,1939,0,0
Sonny with a Chance,2009,N/A,2 wins & 6 nominations.,10074,2009,2,6
Soy Luna,2016,N/A,N/A,833,2016,0,0
Spider-Man,1981,N/A,N/A,943,1981,0,0
Spider-Man and His Amazing Friends,1981,N/A,1 nomination.,2704,1981,0,1
Spider-Man Unlimited,1999,N/A,N/A,2517,1999,0,0
Spider-Woman,1979,N/A,N/A,438,1979,0,0
Splash,1984,Ron Howard,Nominated for 1 Oscar. Another 2 wins & 8 nominations.,65908,1984,2,9
Star Wars: Forces of Destiny,2017,N/A,1 win.,1105,2017,1,0
Star Wars Rebels,2014,N/A,Nominated for 4 Primetime Emmys. Another 7 wins & 25 nominations.,24977,2014,7,29
null,0,null,null,null,0,0,0
Star Wars Resistance,2018,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 1 nomination.,3403,2018,1,2
Star Wars: Episode IV - A New Hope,1977,George Lucas,Won 6 Oscars. Another 52 wins & 28 nominations.,1188658,1977,58,28
Star Wars: Episode II - Attack of the Clones,2002,George Lucas,Nominated for 1 Oscar. Another 19 wins & 63 nominations.,613768,2002,19,64
Star Wars Blips,2017,N/A,N/A,29,2017,0,0
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Nominated for 4 Oscars. Another 22 wins & 16 nominations.,912250,1983,22,20
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Nominated for 1 Oscar. Another 26 wins & 61 nominations.,681075,2005,26,62
Star Wars: The Clone Wars,2008,N/A,23 wins & 68 nominations.,47308,2008,23,68
Star Wars: The Clone Wars,2008,Dave Filoni,2 nominations.,53973,2008,0,2
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Won 1 Oscar. Another 24 wins & 20 nominations.,1109656,1980,25,20
Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,Nominated for 5 Oscars. Another 62 wins & 125 nominations.,833706,2015,62,130
Star Wars: Episode VIII - The Last Jedi,2017,Rian Johnson,Nominated for 4 Oscars. Another 22 wins & 88 nominations.,532835,2017,22,92
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Nominated for 3 Oscars. Another 26 wins & 65 nominations.,698744,1999,26,68
null,0,null,null,null,0,0,0
Stargirl,2020,Julia Hart,N/A,2130,2020,0,0
StarStruck,2010,Michael Grossman,2 nominations.,12305,2010,0,2
Steamboat Willie,1928,"Ub Iwerks, Walt Disney",1 win.,6678,1929,1,0
Stepsister from Planet Weird,2000,Steve Boyum,N/A,1317,2000,0,0
Stitch! The Movie,2003,"Tony Craig, Roberts Gannaway",2 nominations.,7622,2003,0,2
Stonehenge: Decoded,2008,Christopher Spencer,1 nomination.,133,2008,0,1
Stuck in the Suburbs,2004,Savage Steve Holland,N/A,3395,2004,0,0
The Sultan and the Rock Star,1980,N/A,N/A,12,1980,0,0
Super Buddies,2013,Robert Vince,1 win.,1089,2013,1,0
Super Rhino,2009,Nathan Greno,N/A,854,2009,0,0
Supercar Superbuild,2014,N/A,N/A,40,2014,0,0
Swiss Family Robinson,1940,Edward Ludwig,N/A,324,1940,0,0
Swiss Family Robinson,1960,Ken Annakin,N/A,13189,1960,0,0
TaleSpin,1990,N/A,Won 1 Primetime Emmy. Another 5 nominations.,12743,1990,1,5
Tall Tale,1995,Jeremiah S. Chechik,N/A,3246,1995,0,0
Tangled,2010,"Nathan Greno, Byron Howard",USA,7,2010,0,0
Tangled: Before Ever After,2017,"Tom Caulfield, Stephen Sandoval",1 win & 5 nominations.,1861,2017,1,5
Tangled: The Series,0,21 min,"English, Czech",null,0,0,0
Tarzan & Jane,2002,"Steve Loter, Victor Cook, Don MacKinnon, Lisa Schaffer(co-director)", John Behnke,null,2002,0,0
Teacher's Pet,2004,Timothy Björklund,2 nominations.,1471,2004,0,2
Teacher's Pet,2000,N/A,8 wins & 4 nominations.,378,2000,8,4
Teen Beach 2,2015,Jeffrey Hornaday,2 wins & 3 nominations.,3331,2015,2,3
Teen Beach Movie,2013,Jeffrey Hornaday,2 nominations.,8886,2013,0,2
Teen Spirit,2011,Gil Junger,N/A,6775,2011,0,0
That Darn Cat,1997,Bob Spiers,2 nominations.,3952,1997,0,2
That Darn Cat!,1965,Robert Stevenson,6 nominations.,5542,1965,0,6
That's So Raven,2003,N/A,Nominated for 2 Primetime Emmys. Another 14 wins & 29 nominations.,16953,2003,14,31
The Absent Minded Professor,1961,Robert Stevenson,Nominated for 3 Oscars. Another 1 win & 5 nominations.,6856,1961,1,8
null,0,null,null,null,0,0,0
The Adventures of Bullwhip Griffin,1967,James Neilson,N/A,603,1967,0,0
The Adventures of Huck Finn,1993,Stephen Sommers,N/A,7451,1993,0,0
The Adventures of Ichabod and Mr. Toad,1949,"James Algar, Clyde Geronimi, Jack Kinney", Joe Rinaldi (story),null,1950,0,0
The Adventures of Spin and Marty,1955,N/A,N/A,166,1955,0,0
The African Lion,1955,James Algar,3 wins.,286,1955,3,0
The Apple Dumpling Gang,1975,Norman Tokar,N/A,4710,1975,0,0
The Apple Dumpling Gang Rides Again,1979,Vincent McEveety,N/A,2270,1979,0,0
The Aristocats,1970,Wolfgang Reitherman,3 wins.,89029,1970,3,0
The Art of Skiing,0,8 min,English,null,0,0,0
The Avengers: Earth's Mightiest Heroes,2010,N/A,8 nominations.,12505,2010,0,8
Avengers: United They Stand,1999,N/A,N/A,682,1999,0,0
The Band Concert,1935,Wilfred Jackson,1 win.,2714,1935,1,0
The Bears and I,1974,Bernard McEveety,N/A,253,1974,0,0
The BFG,2016,Steven Spielberg,4 wins & 25 nominations.,73906,2016,4,25
The Big Bad Wolf,1934,Burt Gillett,N/A,1381,1934,0,0
The Biscuit Eater,1972,Vincent McEveety,N/A,281,1972,0,0
The Black Cauldron,1985,"Ted Berman, Richard Rich",N/A,29395,1985,0,0
The Black Hole,1979,Gary Nelson,Nominated for 2 Oscars. Another 6 nominations.,22422,1979,0,8
The Blue Umbrella,2013,Saschka Unseld,1 nomination.,8311,2013,0,1
null,0,null,null,null,0,0,0
The Book of Pooh,2001,N/A,1 win & 3 nominations.,412,2001,1,3
The Boy Who Talked to Badgers,1975,Gary Nelson,N/A,25,1975,0,0
The Brave Little Toaster Goes to Mars,1998,"Robert C. Ramirez, Patrick A. Ventura",2 nominations.,1333,1998,0,2
The Castaway Cowboy,1974,Vincent McEveety,N/A,421,1974,0,0
The Cat from Outer Space,1978,Norman Tokar,1 nomination.,4162,1978,0,1
The Cheetah Girls,2003,Oz Scott,6 nominations.,6690,2003,0,6
The Cheetah Girls 2,2006,Kenny Ortega,2 nominations.,5512,2006,0,2
The Cheetah Girls: One World,2008,Paul Hoen,2 nominations.,3779,2008,0,2
The Christmas Star,1986,Alan Shapiro,N/A,345,1986,0,0
The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,2 wins & 20 nominations.,187627,2008,2,20
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,Won 1 Oscar. Another 17 wins & 46 nominations.,353342,2005,18,46
The Color of Friendship,2000,Kevin Hooks,Won 1 Primetime Emmy. Another 4 wins & 3 nominations.,3027,2000,5,3
The Computer Wore Tennis Shoes,1969,Robert Butler,N/A,4208,1969,0,0
The Country Bears,2002,Peter Hastings,4 nominations.,4769,2002,0,4
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
The Emperor's New Groove,2000,Mark Dindal,Nominated for 1 Oscar. Another 7 wins & 26 nominations.,171721,2000,7,27
The Even Stevens Movie,2003,Sean McNamara,1 win & 5 nominations.,6241,2003,1,5
The Finest Hours,2016,Craig Gillespie,2 wins.,59000,2016,2,0
The Flood,2018,N/A,N/A,24,2018,0,0
The Fox and the Hound,1981,"Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman",1 win & 2 nominations.,81227,1981,1,2
The Fox and the Hound 2,2006,Jim Kammerud,1 win.,3961,2006,1,0
The Game Plan,2007,Andy Fickman,3 nominations.,56291,2007,0,3
The Ghosts of Buxley Hall,1980,Bruce Bilson,N/A,97,1980,0,0
The Goddess of Spring,1934,Wilfred Jackson,N/A,483,1934,0,0
The Golden Touch,1935,Walt Disney,N/A,856,1935,0,0
The Good Dinosaur,2015,Peter Sohn,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,97413,2015,9,41
The Great Mouse Detective,1986,"Ron Clements, Burny Mattinson, David Michener, John Musker",USA,7,1986,0,0
The Great Muppet Caper,1981,Jim Henson,Nominated for 1 Oscar. Another 1 nomination.,12993,1981,0,2
The Greatest Game Ever Played,2005,Bill Paxton,3 nominations.,26823,2005,0,3
The Haunted Mansion,2003,Rob Minkoff,1 win & 4 nominations.,40276,2003,1,4
The Hockey Champ,1939,Jack King,N/A,756,1939,0,0
The Hunchback of Notre Dame,1996,"Gary Trousdale, Kirk Wise", Noni White (animation screenplay by),null,1996,0,0
The Hunchback of Notre Dame 2: The Secret of the Bell,2002,Bradley Raymond,2 wins & 12 nominations.,5645,2002,2,12
The Imagineering Story,2019,N/A,N/A,1194,2019,0,0
The Incredible Dr. Pol,2011,N/A,N/A,999,0,0,0
Blue Ribbon Kids,2016,N/A,N/A,null,2016,0,0
The Incredible Journey,1963,Fletcher Markle,N/A,3702,1963,0,0
The Incredibles,2004,Brad Bird,Won 2 Oscars. Another 65 wins & 56 nominations.,633057,2004,67,56
The Journey of Natty Gann,1985,Jeremy Kagan,Nominated for 1 Oscar. Another 1 win & 2 nominations.,4848,1985,1,3
The Jungle Book,1967,"Wolfgang Reitherman, James Algar, Jack Kinney",Nominated for 1 Oscar. Another 4 wins & 3 nominations.,159903,1967,4,4
The Jungle Book 2,2003,Steve Trenbirth,1 win & 9 nominations.,14354,2003,1,9
The Jungle Book: Mowgli's Story,1998,Nick Marck,N/A,625,1998,0,0
The Last Song,2010,Julie Anne Robinson,4 wins & 10 nominations.,78380,2010,4,10
The Legend of Mor'du,2012,Brian Larsen,N/A,1084,2012,0,0
The Lion King,2019,Jon Favreau,"English, Xhosa, Zulu, French, Spanish",55,2019,0,0
The Lion King 3: Hakuna Matata,2004,Bradley Raymond,6 wins & 10 nominations.,35523,2004,6,10
The Lion King 2: Simba's Pride,1998,"Darrell Rooney, Rob LaDuca(co-director)",3 wins & 3 nominations.,58256,1998,3,3
The Lion King,1994,"Roger Allers, Rob Minkoff",Won 2 Oscars. Another 35 wins & 34 nominations.,901362,1994,37,34
The Little Mermaid,1989,"Ron Clements, John Musker",Won 2 Oscars. Another 10 wins & 8 nominations.,227707,1989,12,8
The Little Mermaid 2: Return to the Sea,2000,"Jim Kammerud, Brian Smith(co-director)",4 nominations.,16648,2000,0,4
The Little Mermaid: Ariel's Beginning,2008,Peggy Holmes,2 nominations.,8001,2008,0,2
null,0,null,null,null,0,0,0
The Living Desert,1953,James Algar,Won 1 Oscar. Another 6 wins & 2 nominations.,1139,1953,7,2
Lizzie McGuire,2003,Jim Fall,2 wins & 3 nominations.,34463,2003,2,3
The Lodge,2016,N/A,N/A,345,2016,0,0
The Lost Tomb of Alexander the Great,2019,Duncan Singh,N/A,32,2019,0,0
The Love Bug,1968,Robert Stevenson,1 win & 2 nominations.,13617,1969,1,2
The Mandalorian,2019,N/A,5 wins & 10 nominations.,157153,2019,5,10
The Many Adventures of Winnie the Pooh,1977,"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen",1 nomination.,31065,1977,0,1
The Million Dollar Duck,1971,Vincent McEveety,N/A,1886,1971,0,0
The Mistle-Tones,2012,Paul Hoen,N/A,1843,2012,0,0
The Muppet Christmas Carol,1992,Brian Henson,2 wins & 1 nomination.,45861,1992,2,1
The Muppet Movie,1979,James Frawley,Nominated for 2 Oscars. Another 4 wins & 9 nominations.,31198,1979,4,11
The Muppets,2011,James Bobin,Won 1 Oscar. Another 16 wins & 43 nominations.,84999,2011,17,43
The Muppets.,2015,N/A,Nominated for 1 Primetime Emmy. Another 3 wins & 3 nominations.,5614,2015,3,4
The New Adventures of Winnie the Pooh,1988,N/A,5 wins & 5 nominations.,3077,1988,5,5
The New Neighbor,1953,Jack Hannah,N/A,292,1953,0,0
The Odd Life of Timothy Green,2012,Peter Hedges,1 win & 8 nominations.,43976,2012,1,8
The Old Mill,1937,Wilfred Jackson,Won 1 Oscar. Another 1 win.,3165,1937,2,0
The Olympic Champ,1942,Jack Kinney,N/A,634,1942,0,0
The Olympic Elk,1952,James Algar,N/A,40,1952,0,0
The Other Me,2000,Manny Coto,2 wins & 1 nomination.,1741,2000,2,1
The Parent Trap,1961,David Swift,Nominated for 2 Oscars. Another 2 wins & 6 nominations.,18041,1961,2,8
The Parent Trap,1998,Nancy Meyers,2 wins & 7 nominations.,114898,1998,2,7
The Pied Piper,1933,Wilfred Jackson,1 win.,659,1933,1,0
The Plausible Impossible,1956,"William Beaudine, Wilfred Jackson",N/A,14,1956,0,0
The Poof Point,2001,Neal Israel,N/A,466,2001,0,0
The Prince and the Pauper,1962,Don Chaffey,N/A,33,1981,0,0
The Prince and the Pauper,1990,George Scribner,N/A,2791,1990,0,0
The Princess and the Frog,2009,"Ron Clements, John Musker",Nominated for 3 Oscars. Another 11 wins & 38 nominations.,117082,2009,11,41
The Princess Bride,1987,Rob Reiner,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,377085,1987,7,9
The Princess Diaries,2001,Garry Marshall,3 wins & 11 nominations.,123037,2001,3,11
The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,1 win & 2 nominations.,70904,2004,1,2
The Proud Family,2001,N/A,6 wins & 23 nominations.,5951,2001,6,23
The Proud Family Movie,2005,Bruce W. Smith,3 nominations.,1430,2005,0,3
The Reluctant Dragon,1941,"Alfred L. Werker, Hamilton Luske, Jack Cutting, Ub Iwerks, Jack Kinney"," John P. Miller (story """"Baby Weems"""" sequence)""",null,1941,0,0
The Replacements,2006,N/A,1 nomination.,2409,2006,0,1
The Rescuers,1977,"John Lounsbery, Wolfgang Reitherman, Art Stevens", Vance Gerry (story),null,1977,0,0
The Rescuers Down Under,1990,"Hendel Butoy, Mike Gabriel",6 wins.,36509,1990,6,0
The Rocketeer,1991,Joe Johnston, Danny Bilson (screenplay),null,1991,0,0
The Rookie,2002,John Lee Hancock,5 wins & 4 nominations.,31236,2002,5,4
The Sandlot: Heading Home,0,"Family, Sport","USA, Canada",5,0,0,0
The Santa Clause,1994,John Pasquin,2 wins & 8 nominations.,91389,1994,2,8
The Santa Clause 2,2002,Michael Lembeck,1 win & 3 nominations.,47866,2002,1,3
The Santa Clause 3: The Escape Clause,2006,Michael Lembeck,4 wins & 9 nominations.,31254,2006,4,9
The Scream Team,2002,Stuart Gillard,N/A,774,2002,0,0
The Secret of the Magic Gourd,2007,Frankie Chung,1 win & 1 nomination.,490,2007,1,1
The Shaggy D.A.,1976,Robert Stevenson,N/A,2468,1976,0,0
The Shaggy Dog,1959,Charles Barton,1 win & 1 nomination.,4080,1959,1,1
The Sign of Zorro,1958,"Lewis R. Foster, Norman Foster",N/A,645,1960,0,0
null,0,null,null,null,0,0,0
The Simpsons,1989,N/A,Nominated for 1 Golden Globe. Another 168 wins & 302 nominations.,328282,1989,168,303
The Small One,1978,Don Bluth,N/A,1181,1978,0,0
The Sound of Music,1965,Robert Wise,Won 5 Oscars. Another 12 wins & 13 nominations.,194154,1965,17,13
The Story of Robin Hood and His Merrie Men,1952,Ken Annakin,N/A,1281,1952,0,0
The Straight Story,1999,David Lynch,Nominated for 1 Oscar. Another 19 wins & 39 nominations.,77452,1999,19,40
The Strongest Man in the World,1975,Vincent McEveety,N/A,2531,1975,0,0
The Suite Life Movie,2011,Sean McNamara,N/A,3051,2011,0,0
The Suite Life of Zack & Cody,2005,N/A,Nominated for 3 Primetime Emmys. Another 8 wins & 20 nominations.,30964,2005,8,23
The Suite Life on Deck,0,"Action, Adventure, Comedy, Family",USA,6,0,0,0
The Super Hero Squad Show,2009,N/A,N/A,1410,2009,0,0
The Swap,2016,Jay Karas,3 nominations.,1522,2016,0,3
The Sword in the Stone,1963,"Wolfgang Reitherman, Clyde Geronimi, David Hand",Nominated for 1 Oscar. Another 1 win.,85169,1964,1,1
The Thirteenth Year,1999,Duwayne Dunham,1 nomination.,4525,1999,0,1
The Three Caballeros,1944,"Norman Ferguson, Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young",Nominated for 2 Oscars. Another 1 nomination.,11541,1945,0,3
The Three Musketeers,1993,Stephen Herek,2 wins & 3 nominations.,48683,1993,2,3
The Tigger Movie,2000,Jun Falkenstein,4 nominations.,16402,2000,0,4
The Tortoise and the Hare,1935,Wilfred Jackson,N/A,2028,1935,0,0
The Ugly Dachshund,1966,Norman Tokar,N/A,3244,1966,0,0
Ugly Duckling,1939,"Jack Cutting, Clyde Geronimi",N/A,2421,1939,0,0
The Ultimate Christmas Present,2000,Greg Beeman,2 wins & 3 nominations.,1478,2000,2,3
The Vanishing Prairie,1954,James Algar,Won 1 Oscar. Another 3 wins.,341,1955,4,0
The Wild,2006,Steve 'Spaz' Williams,2 nominations.,23206,2006,0,2
The Wise Little Hen,1934,Wilfred Jackson,N/A,1567,1934,0,0
The Wizards Return: Alex vs. Alex,2013,Victor Gonzalez,2 nominations.,4934,2013,0,2
The Little Mermaid Live!,2019,"Hamish Hamilton, Ron Clements, John Musker",N/A,645,2019,0,0
The World According to Jeff Goldblum,2019,N/A,N/A,1121,2019,0,0
The Young Black Stallion,2003,Simon Wincer,1 nomination.,1008,2003,0,1
Those Calloways,1965,Norman Tokar,N/A,423,1965,0,0
null,0,null,null,null,0,0,0
Three Days,2001,Michael Switzer,N/A,867,2001,0,0
Three Little Pigs,1933,Burt Gillett,Won 1 Oscar. Another 1 win.,4805,1933,2,0
null,0,null,null,null,0,0,0
Three Men and a Baby,1987,Leonard Nimoy,English,61,1987,0,0
Three Men and a Little Lady,1990,Emile Ardolino,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",null,1990,0,0
null,0,null,null,null,0,0,0
Thumbelina,1994,"Don Bluth, Gary Goldman",1 win.,14576,1994,1,0
Tiger Cruise,2004,Duwayne Dunham,3 nominations.,1166,2004,0,3
The Nightmare Before Christmas,1993,Henry Selick,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,281155,1993,7,17
Timmy Failure: Mistakes Were Made,2020,Tom McCarthy,N/A,1300,2020,0,0
Timon & Pumbaa,1995,N/A,3 wins & 14 nominations.,8549,1995,3,14
Tin Toy,1988,John Lasseter,Won 1 Oscar. Another 3 wins.,9253,1988,4,0
Tinker Bell,2008,Bradley Raymond,N/A,11194,2008,0,0
Tinker Bell and the Great Fairy Rescue,2010,Bradley Raymond,1 win & 1 nomination.,7103,2010,1,1
Tinker Bell and the Lost Treasure,2009,Klay Hall,1 nomination.,9233,2009,0,1
Titanic: 20 Years Later with James Cameron,0,Documentary,USA,7,0,0,0
Toby Tortoise Returns,0,"Animation, Short, Comedy",USA,7,0,0,0
Togo,2019,Ericson Core,1 win & 2 nominations.,24630,2019,1,2
Tom and Huck,1995,Peter Hewitt,1 win & 5 nominations.,9519,1995,1,5
Toy Story,1995,John Lasseter,Nominated for 3 Oscars. Another 27 wins & 20 nominations.,846332,1995,27,23
Toy Story 2,1999,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)",Nominated for 1 Oscar. Another 21 wins & 26 nominations.,504561,1999,21,27
Toy Story 3,2010,Lee Unkrich,Won 2 Oscars. Another 60 wins & 95 nominations.,729086,2010,62,95
Toy Story 4,0,"Animation, Adventure, Comedy, Family, Fantasy",USA,7,0,0,0
Toy Story Toons: Hawaiian Vacation,2011,Gary Rydstrom,N/A,7148,2011,0,0
null,0,null,null,null,0,0,0
Toy Story Toons: Small Fry,2011,"Angus MacLane, Dylan Brown",N/A,5326,2011,0,0
Trail of the Panda,2009,Zhong Yu,N/A,139,0,0,0
Trailer Horn,1950,Jack Hannah,N/A,359,1950,0,0
Treasure Island,1950,Byron Haskin,1 nomination.,6611,1950,0,1
Treasure of Matecumbe,1976,Vincent McEveety,N/A,412,1976,0,0
Treasure Planet,2002,"Ron Clements, John Musker", Ron Clements (animation story by),null,2002,0,0
null,0,null,null,null,0,0,0
TRON,1982,Steven Lisberger,Nominated for 2 Oscars. Another 2 wins & 6 nominations.,110110,1982,2,8
TRON: Uprising,2012,N/A,Won 1 Primetime Emmy. Another 2 wins & 6 nominations.,7409,2012,3,6
TRON: Legacy,2010,Joseph Kosinski,Nominated for 1 Oscar. Another 10 wins & 49 nominations.,306175,2010,10,50
Tru Confessions,2002,Paul Hoen,1 win.,2866,2002,1,0
Tuck Everlasting,2002,Jay Russell,1 win & 3 nominations.,20533,2002,1,3
Tugboat Mickey,1940,Clyde Geronimi,N/A,650,1940,0,0
Turner & Hooch,1989,Roger Spottiswoode,1 win & 1 nomination.,61665,1989,1,1
Tutankhamen's Treasures,2018,N/A,N/A,31,2018,0,0
'Twas the Night,2001,Nick Castle,1 win & 3 nominations.,719,2001,1,3
Twitches,2005,Stuart Gillard,1 win.,6703,2005,1,0
Twitches Too,2007,Stuart Gillard,N/A,3961,2007,0,0
Unidentified Flying Oddball,1979,Russ Mayberry,N/A,917,1979,0,0
null,0,null,null,null,0,0,0
Unlikely Animal Friends,2012,N/A,N/A,72,2012,0,0
Up,2009,"Pete Docter, Bob Peterson(co-director)",Won 2 Oscars. Another 78 wins & 82 nominations.,895906,2009,80,82
"Up, Up, and Away!",2000,Robert Townsend,1 nomination.,1736,2000,0,1
Valiant,2005,Gary Chapman,2 nominations.,20118,2005,0,2
Viking Warrior Women,2019,"David Bartlett, Sebastian Peiter",N/A,14,2019,0,0
Violetta,2012,N/A,1 win & 2 nominations.,1892,2012,1,2
Waking Sleeping Beauty,2009,Don Hahn,2 wins & 2 nominations.,2253,2010,2,2
WALL·E,2008,Andrew Stanton,Won 1 Oscar. Another 91 wins & 93 nominations.,955757,2008,92,93
null,0,null,null,null,0,0,0
Water Birds,1952,Ben Sharpsteen,Won 1 Oscar. Another 1 nomination.,111,1952,1,1
Wendy Wu: Homecoming Warrior,2006,John Laing,N/A,5328,2006,0,0
Whispers: An Elephant's Tale,2000,Dereck Joubert,N/A,252,2000,0,0
White Fang,1991,Randal Kleiser,1 win.,18897,1991,1,0
Who Framed Roger Rabbit,1988,"Robert Zemeckis, Richard Williams",Won 3 Oscars. Another 21 wins & 21 nominations.,175505,1988,24,21
Wicked Tuna,2012,N/A,N/A,677,2012,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Willow,1988,Ron Howard,Nominated for 2 Oscars. Another 1 win & 9 nominations.,97309,1988,1,11
Wind,2019,Edwin Chang,N/A,null,0,0,0
Winged Seduction: Birds of Paradise,2012,Molly Hermann,N/A,10,2012,0,0
Winnie the Pooh,2011,"Stephen J. Anderson, Don Hall",2 wins & 25 nominations.,20673,2011,2,25
Winnie the Pooh: A Very Merry Pooh Year,2002,"Gary Katona, Ed Wexler, Jamie Mitchell",1 win & 3 nominations.,1781,2002,1,3
Winnie the Pooh: Springtime with Roo,2003,"Saul Blinkoff, Elliot M. Bour",6 nominations.,1634,2004,0,6
Winter Storage,1949,Jack Hannah,N/A,595,1949,0,0
Wizards of Waverly Place,2007,N/A,Won 2 Primetime Emmys. Another 35 wins & 50 nominations.,27826,2007,37,50
Wizards of Waverly Place: The Movie,2009,Lev L. Spiro,Won 1 Primetime Emmy. Another 1 win & 4 nominations.,14540,2009,2,4
Wolverine and the X-Men,2008,N/A,N/A,9497,2009,0,0
BarkFest,2017,N/A,N/A,null,0,0,0
Wreck-It Ralph,2012,Rich Moore,Nominated for 1 Oscar. Another 33 wins & 41 nominations.,365043,2012,33,42
X-Men: Evolution,2000,N/A,3 wins & 6 nominations.,9763,2000,3,6
null,0,null,null,null,0,0,0
Year Million,2017,N/A,N/A,324,2017,0,0
Yellowstone Cubs,1963,Charles L. Draper,1 nomination.,177,1963,0,1
You Lucky Dog,1998,Paul Schneider,N/A,526,1998,0,0
You Wish!,2003,Paul Hoen,3 nominations.,1608,2003,0,3
Your Friend the Rat,2007,Jim Capobianco,1 win.,4944,2007,1,0
Z-O-M-B-I-E-S,2018,Paul Hoen,1 nomination.,2993,2018,0,1
Zapped,2014,Peter DeLuise,"Zendaya, Chanelle Peloso, Spencer Boldman, Emilia McCarthy",null,2014,0,0
Zenon: Girl of the 21st Century,1999,Kenneth Johnson,2 nominations.,6378,1999,0,2
Zenon: The Zequel,2001,Manny Coto,1 nomination.,3318,2001,0,1
Zenon: Z3,2004,Steve Rash,English,null,2004,0,0
Zootopia,2016,"Byron Howard, Rich Moore, Jared Bush(co-director)",Won 1 Oscar. Another 46 wins & 71 nominations.,410437,2016,47,71
